regimenId,regimenName,treatmentLine,ageCategory,regimenAddTime
647,ABC-3TC-LPV/r-TDF/3,Second Line,,5/6/22 15:00
648,DRV-RTV-DTG-ABC/3TC,Second Line,,5/9/22 10:25
649,TDF+3TC+DTG,First Line,,5/9/22 10:36
650,TDF-3TC-LPV,Second Line,,5/10/22 10:18
651,TDF-3TC-ATV,Second Line,,5/10/22 10:19
652,NVP-AZT-3TC,First Line,,5/10/22 10:46
653,TDF-3TC-DTG/d-DRV/r/ETR,Third Line,,5/10/22 14:18
654,AZT-3TC-DTG,,,5/11/22 11:35
655,AZT-3TC-NVP,,,5/11/22 11:39
656,ABC-3TC-ATV/r,,,5/11/22 11:43
657,AZT-3TC-NVP,,,5/11/22 11:46
658,ABC-3TC-LPV/r,,,5/11/22 11:56
659,AZT-3TC-ATZ,Second Line,,5/12/22 13:26
660,TDF-3TC-DTG/d,Third Line,,5/12/22 13:32
661,AZT-3TC-NVP,,,5/13/22 10:54
662,TDF-3TC-DTG,,,5/13/22 14:43
663,ABC/ -3TC-DTG,Second Line,,5/15/22 8:33
664,TDF-3TC-EFV,,,5/15/22 12:10
665,ABC-3TC-EFV,,,5/16/22 7:19
666,ABC-3TC-LPV/r-RTV,Second Line,,5/16/22 7:47
667,ABC-3TC-DTG,,,5/16/22 9:36
668,DTF-3TC-DTG,First Line,,5/16/22 10:02
669,TDF-3TC-LPV/r,,,5/17/22 8:43
670,TDF-3TC-DTG,,,5/17/22 9:56
671,AZT-3TC-NVP,,,5/17/22 10:09
672,ABC-3TC-NVP,,,5/17/22 10:10
673,ABC-3TC-LPV/r,,,5/17/22 10:12
674,3TC-AZT-DTG,Second Line,,5/17/22 12:56
675,3TC-TDF-DTG,Second Line,,5/17/22 13:35
676,3TC/ -TDF-DTG,Second Line,,5/17/22 13:55
677,ABC-3TC-LPV/r,,,5/18/22 7:19
678,TDF-3TC-ATV/r,,,5/18/22 14:16
679,TDF-3TC-DTG,,,5/18/22 14:17
680,LEFt blank-RTV-LPV-TDF/3TC,Second Line,,5/19/22 17:25
681,3TC-TDF-ATV/r-DTG,Second Line,,5/20/22 9:25
682,TDF-3TC-ATA/z,Second Line,,5/20/22 11:06
683,DTG-3TC-DRV-RTV,Third Line,,5/21/22 8:30
684,TRIom-3TC-EFV,First Line,,5/23/22 7:04
685,TDF-3TC-EFV,,,5/24/22 6:13
686,ABC-3TC-DDI,First Line,,5/25/22 9:14
687,TLE-3TC-EFV,First Line,,5/26/22 15:24
688,ATV-RTV-NIL-TDF/3TC,Second Line,,5/27/22 7:29
689,NIL-NIL-EFV-TDF/3TC,First Line,,5/27/22 9:24
690,LEFt blank-AZT-3TC-DTG,Second Line,,5/31/22 12:57
691,AZT-3TC-RAL-DRV/RTV,Third Line,,6/1/22 11:09
692,AZT-AZT-3TC-NVP,First Line,,6/1/22 12:13
693,LPV-RTV-RAL,Third Line,,6/1/22 12:54
694,ETR-RAL-DRV-RTV,Third Line,,6/1/22 13:12
